Feature,Importance
Elo Diff,0.017535534737802932
Series Odds,0.01228634376277904
Team1 Map Odds,0.008291828601651674
Team2 Prior Games,0.004493970689523137
Team1 Elo,0.0042801252431694525
Recent Rating 3 Diff,0.003747093070478158
Recent Deaths 3 Diff,0.003706316808023876
Recent ADR 3 Diff,0.0024797805531548236
Team2 Recent Kills 3,0.002195857627871408
Map,0.001957442450280474
Prior WinRate Diff,0.0014814581074685436
Recent WinRate 3 Diff,0.0013926536655486748
pair prev games,0.0013234215750141203
Team2 Recent ACS 3,0.0010772073003430342
Team1 Map Prior WinRate,0.0008706817965783801
Team2 Map Prior WinRate,0.0005536557110730941
Team2 Map Prior Games,0.0005438111475241462
Team2 Prior WinRate,0.00045570156265280676
Recent Kills 3 Diff,0.00042763465884691304
Team1 Prior WinRate,0.00037077591004937754
Team1 H2H Prev WinRate,0.0002931489690668106
Team1 Recent Kills 3,0.00027537374313735263
Recent KAST 3 Diff,0.00021894327678262382
Recent ACS 3 Diff,0.00018645330576612848
Team2 Elo,-1.195625797497287e-05
Team2 Recent ADR 3,-8.520680354862087e-05
Team2 Recent Deaths 3,-0.00013272468450775676
Team1 Map Prior Games,-0.00024149789816544734
Team2 Recent Rating 3,-0.0003518454897375456
Team1 Recent KAST 3,-0.0004768917931478785
Team2 Recent WinRate 3,-0.0005130378603399969
Team1 Recent WinRate 3,-0.0006556657613560427
H2H Prior WinRate Diff,-0.0007940173867077757
Team1 Recent Rating 3,-0.0008004514807040675
Team1 Recent ADR 3,-0.0010019301549101616
Team1 Prior Games,-0.0010785797331528772
Team2 Recent KAST 3,-0.0013104620858947296
Team1 Recent ACS 3,-0.0015527582264565447
Team2 H2H Prev WinRate,-0.0016635909087961975
Map Prior WinRate Diff,-0.0018532622875972644
Team1 Recent Deaths 3,-0.0029307860442528235
